umpire,country
Asad Rauf,Pakistan
RE Koertzen,South Africa
MR Benson,England
SJ Davis,Australia
DJ Harper,Australia
BF Bowden,New Zealand
IL Howell,South Africa
BR Doctrove,West Indies
RB Tiffin,Zimbabwe
BG Jerling,South Africa
SJA Taufel,Australia
M Erasmus,South Africa
TH Wijewardene,Sri Lanka
HDPK Dharmasena,Sri Lanka
GAV Baxter,Australia
NJ Llong,England
CB Gaffaney,New Zealand
SL Shastri,India
GA Pratapkumar,India
K Hariharan,India
AM Saheba,India
AV Jayaprakash,India
I Shivram,India
SD Ranade,India
SK Tarapore,India
S Asnani,India
SS Hazare,India
AY Dandekar,India
A Nand Kishore,India
Nitin Menon,India
CK Nandan,India
AK Chaudhary,India
C Shamshuddin,India
KN Ananthapadmanabhan,India
A Deshmukh,India
YC Barde,India
VK Sharma,India
S Ravi,India
